state,seat,undi_keluar_peti,undi_dalam_peti,undi_tak_kembali,undi_tolak,majoriti,peratus_keluar,undi_rosak,pengundi_jumlah,pengundi_tidak_hadir,rosak_vs_keseluruhan,rosak_vs_majoriti,tidakhadir_vs_majoriti
Selangor,P.108 Shah Alam,88128,87942,186,863,10939,88.2,1049,99918,11790,1.1903140885984023,9.589542005667793,107.7795045250937
Selangor,P.109 Kapar,127023,126709,314,2379,23790,88.1,2693,144180,17157,2.120088487911638,11.31988230348886,72.11853720050442
Selangor,P.110 Klang,84219,84095,124,1342,24685,86.8,1466,97026,12807,1.7406998420783908,5.938829248531497,51.8817095402066
Selangor,P.111 Kota Raja,92729,92563,166,1102,29395,87.6,1268,105855,13126,1.3674255087405234,4.313658785507739,44.653852696036736
Selangor,P.112 Kuala Langat,78726,78557,169,1523,5358,89.0,1692,88456,9730,2.149226430912278,31.57894736842105,181.59761104889884
Selangor,P.113 Sepang,75135,74961,174,1226,1142,89.1,1400,84326,9191,1.863312703799827,122.59194395796848,804.816112084063
W.P. Kuala Lumpur,P.114 Kepong,58585,58512,73,388,40307,86.1,461,68042,9457,0.7868908423657932,1.1437219341553575,23.462425881360556
W.P. Kuala Lumpur,P.115 Batu,72147,71988,159,606,13284,84.5,765,85381,13234,1.0603351490706474,5.7588075880758804,99.62360734718459
W.P. Kuala Lumpur,P.116 Wangsa Maju,58291,58146,145,375,5511,86.0,520,67780,9489,0.8920759636993705,9.435674106332788,172.18290691344583
W.P. Kuala Lumpur,P.117 Segambut,64184,64052,132,485,19199,84.9,617,75599,11415,0.961298766047613,3.213709047346216,59.45622167821241
W.P. Kuala Lumpur,P.118 Setiawangsa,52910,52730,180,502,1390,84.9,682,62320,9410,1.288981288981289,49.06474820143885,676.978417266187
W.P. Kuala Lumpur,P.119 Titiwangsa,45631,45513,118,311,866,82.5,429,55310,9679,0.9401503363941179,49.53810623556582,1117.6674364896076
W.P. Kuala Lumpur,P.120 Bukit Bintang,41824,41772,52,355,19399,75.1,407,55691,13867,0.9731254781943381,2.0980462910459305,71.48306613742976
W.P. Kuala Lumpur,P.121 Lembah Pantai,61048,60855,193,519,1847,84.3,712,72417,11369,1.1662953741318307,38.54899837574445,615.5387114239307
W.P. Kuala Lumpur,P.122 Seputeh,71859,71750,109,302,51552,83.6,411,85955,14096,0.5719534087588194,0.7972532588454376,27.343265052762263
W.P. Kuala Lumpur,P.123 Cheras,59492,59404,88,315,37409,82.0,403,72551,13059,0.6774020036307403,1.077280868240263,34.908711807319094
W.P. Kuala Lumpur,P.124 Bandar Tun Razak,78157,78147,10,861,11832,85.9,871,90986,12829,1.1144235321212432,7.361392832995267,108.4263015551048
W.P. Putrajaya,P.125 Putrajaya,14465,14418,47,73,5541,91.6,120,15791,1326,0.8295886622882821,2.165674066053059,23.930698429886302
Negeri Sembilan,P.126 Jelebu,38020,37883,137,756,7101,84.6,893,44940,6920,2.3487638085218308,12.57569356428672,97.4510632305309
Negeri Sembilan,P.127 Jempol,54858,54701,157,1082,8629,84.1,1239,65229,10371,2.258558460024062,14.358558349750842,120.18773901958512
Negeri Sembilan,P.128 Seremban,87617,87359,258,1486,12553,85.6,1744,102356,14739,1.9904812992912333,13.893093284473832,117.41416394487374
Negeri Sembilan,P.129 Kuala Pilah,40291,40147,144,794,9661,84.5,938,47681,7390,2.328063339207267,9.709139840596212,76.49311665459062
Negeri Sembilan,P.130 Rasah,75860,75651,209,1208,24101,85.8,1417,88414,12554,1.8679145794885315,5.87942409028671,52.089124932575416
Negeri Sembilan,P.131 Rembau,69548,69291,257,1217,18357,87.3,1474,79665,10117,2.1193995513889687,8.029634471863595,55.11249114779103
Negeri Sembilan,P.132 Port Dickson,59984,59855,129,1344,1579,85.1,1473,70486,10502,2.455654841291011,93.28689043698543,665.1044965167828
Negeri Sembilan,P.133 Tampin,48799,48660,139,1042,11162,85.2,1181,57275,8476,2.420131560072952,10.580541121662785,75.93621214836051
Melaka,P.134 Masjid Tanah,39827,39742,85,566,16200,86.7,651,45936,6109,1.6345695131443492,4.018518518518518,37.70987654320987
Melaka,P.135 Alor Gajah,55131,55028,103,1437,11597,86.7,1540,63588,8457,2.793346755908654,13.279296369750798,72.92403207726136
Melaka,P.136 Tangga Batu,64426,64288,138,985,15633,87.9,1123,73294,8868,1.7430850898705492,7.183522036717201,56.72615620802149
Melaka,P.137 Hang Tuah Jaya,88271,88083,188,1102,5733,88.8,1290,99404,11133,1.4614086166464637,22.50130821559393,194.19152276295134
Melaka,P.138 Kota Melaka,79651,79464,187,1168,20746,86.3,1355,92295,12644,1.7011713600582539,6.531379543044443,60.94668851826858
Melaka,P.139 Jasin,56856,56710,146,1001,11763,88.2,1147,64462,7606,2.0173772337132405,9.750913882512965,64.6603757544844
Johor,P.140 Segamat,39895,39807,88,950,1217,84.9,1038,46990,7095,2.601829803233488,85.29170090386195,582.9909613804438
Johor,P.141 Sekijang,37519,37448,71,587,3007,87.1,658,43075,5556,1.7537780857698766,21.88227469238444,184.76887263052876
Johor,P.142 Labis,32027,31978,49,689,353,84.9,738,37723,5696,2.304305742030162,209.06515580736541,1613.5977337110482
Johor,P.143 Pagoh,40613,40522,91,816,12842,86.8,907,46789,6176,2.2332750597099453,7.062762809531225,48.0921974770285
Johor,P.144 Ledang,60382,60348,34,1077,1967,87.1,1111,69324,8942,1.8399523036666556,56.481952211489585,454.60091509913576
Johor,P.145 Bakri,58453,58270,183,1101,5067,87.0,1284,67187,8734,2.196636614031786,25.34043812907046,172.37023880007894
Johor,P.146 Muar,40992,40892,100,804,1646,85.0,904,48225,7233,2.2053083528493365,54.921020656136086,439.4289185905225
Johor,P.147 Parit Sulong,49855,49715,140,952,11753,87.6,1092,56912,7057,2.1903520208604954,9.291244788564622,60.04424402280269
Johor,P.148 Ayer Hitam,37841,37747,94,967,7310,88.2,1061,42903,5062,2.8038371078988398,14.514363885088919,69.24760601915185
