state,parlimen,ballot_order,name,party,votes,result,result_desc
Perlis,P.001 Padang Besar,1,IZIZAM BIN IBRAHIM,PARTI KEADILAN RAKYAT (PKR),13594,0,lost
Perlis,P.001 Padang Besar,2,DATUK ZAHIDI BIN ZAINUL ABIDIN,BARISAN NASIONAL (BN),15032,1,won
Perlis,P.001 Padang Besar,3,USTAZ MOKHTAR SENIK,PARTI ISLAM SE MALAYSIA (PAS),7874,0,lost
Perlis,P.002 Kangar,1,AMIN AHMAD,PARTI KEADILAN RAKYAT (PKR),20909,1,won
Perlis,P.002 Kangar,2,RAMLI SHARIFF,BARISAN NASIONAL (BN),15306,0,lost
Perlis,P.002 Kangar,3,USTAZ ZAHID IBRAHIM ,PARTI ISLAM SE MALAYSIA (PAS),8465,0,lost
Perlis,P.003 Arau,1,USTAZ HASHIM JASIN,PARTI ISLAM SE MALAYSIA (PAS),11362,0,lost
Perlis,P.003 Arau,2,DATO' DR. HAJI ABD RAHMAN BIN DAUD,PARTI KEADILAN RAKYAT (PKR),11691,0,lost
Perlis,P.003 Arau,3,SHAHIDAN BIN KASSIM,BARISAN NASIONAL (BN),16547,1,won
Kedah,P.004 Langkawi,1,ZUBIR BIN AHMAD,PARTI ISLAM SE MALAYSIA (PAS),5512,0,lost
Kedah,P.004 Langkawi,2,DR MAHATHIR BIN MOHAMAD,PARTI KEADILAN RAKYAT (PKR),18954,1,won
Kedah,P.004 Langkawi,3,DATO' IR. NAWAWI BIN AHMAD,BARISAN NASIONAL (BN),10061,0,lost
Kedah,P.005 Jerlun,1,ABD. GHANI BIN AHMAD,PARTI ISLAM SE MALAYSIA (PAS),12829,0,lost
Kedah,P.005 Jerlun,2,OTHMAN BIN AZIZ,BARISAN NASIONAL (BN),12413,0,lost
Kedah,P.005 Jerlun,3,MUKHRIZ MAHATHIR,PARTI KEADILAN RAKYAT (PKR),18695,1,won
Kedah,P.006 Kubang Pasu,1,DATO' SRI MOHD JOHARI BIN BAHARUM,BARISAN NASIONAL (BN),16975,0,lost
Kedah,P.006 Kubang Pasu,2,DATO' AMIRUDDIN HAMZAH,PARTI KEADILAN RAKYAT (PKR),29984,1,won
Kedah,P.006 Kubang Pasu,3,NORHAFIZA BINTI FADZIL,PARTI ISLAM SE MALAYSIA (PAS),13375,0,lost
Kedah,P.007 Padang Terap,1,USTAZ AZAM BIN AZIZ,PARTI ISLAM SE MALAYSIA (PAS),15285,0,lost
Kedah,P.007 Padang Terap,2,KHAIRIZAL KHAZALI,PARTI KEADILAN RAKYAT (PKR),7254,0,lost
Kedah,P.007 Padang Terap,3,DATO' SERI MAHDZIR KHALID,BARISAN NASIONAL (BN),16384,1,won
Kedah,P.008 Pokok Sena,1,DATO' HJ MAHFUZ OMAR,PARTI KEADILAN RAKYAT (PKR),28959,1,won
Kedah,P.008 Pokok Sena,2,DATO' SAID ALI BIN SYED RASTAN,BARISAN NASIONAL (BN),18390,0,lost
Kedah,P.008 Pokok Sena,3,RADHI MAT DIN,PARTI ISLAM SE MALAYSIA (PAS),23401,0,lost
Kedah,P.009 Alor Setar,1,AMINUR SHAFIQ,PARTI ISLAM SE MALAYSIA (PAS),17275,0,lost
Kedah,P.009 Alor Setar,2,YOO WEI HOW,BARISAN NASIONAL (BN),14181,0,lost
Kedah,P.009 Alor Setar,3,CHAN MING KAI,PARTI KEADILAN RAKYAT (PKR),32475,1,won
Kedah,P.010 Kuala Kedah,1,MUHAMAD RIDUAN BIN OTHMAN,PARTI ISLAM SE MALAYSIA (PAS),23143,0,lost
Kedah,P.010 Kuala Kedah,2,ABDULLAH HASNAN BIN KAMARUDDIN,BARISAN NASIONAL (BN),19400,0,lost
Kedah,P.010 Kuala Kedah,3,DR AZMAN ISMAIL,PARTI KEADILAN RAKYAT (PKR),36624,1,won
Kedah,P.011 Pendang,1,OTHMAN BIN ABDUL,BARISAN NASIONAL (BN),20728,0,lost
Kedah,P.011 Pendang,2,HJ. AWANG SOLAHUDIN,PARTI ISLAM SE MALAYSIA (PAS),26536,1,won
Kedah,P.011 Pendang,3,WAN SAIFUL WAN JAN,PARTI KEADILAN RAKYAT (PKR),14901,0,lost
Kedah,P.011 Pendang,4,PENGHULU MALIK,BEBAS (BEBAS),81,0,lost_deposit
Kedah,P.012 Jerai,1,USTAZ SABRI BIN AZIT,PARTI ISLAM SE MALAYSIA (PAS),22312,1,won
Kedah,P.012 Jerai,2,DATO' SERI JAMIL KHIR BIN BAHAROM,BARISAN NASIONAL (BN),21773,0,lost
Kedah,P.012 Jerai,3,AKHRAMSYAH BIN SANUSI JUNID,PARTI KEADILAN RAKYAT (PKR),21651,0,lost
Kedah,P.013 Sik,1,USTAZ TARMIZI SULAIMAN,PARTI ISLAM SE MALAYSIA (PAS),20088,1,won
Kedah,P.013 Sik,2,DR MANSOR BIN ABD RAHMAN,BARISAN NASIONAL (BN),14870,0,lost
Kedah,P.013 Sik,3,AZLI CHE UDA,PARTI KEADILAN RAKYAT (PKR),6970,0,lost
Kedah,P.014 Merbok,1,NURIN AINA,PARTI KEADILAN RAKYAT (PKR),30902,1,won
Kedah,P.014 Merbok,2,USTAZ AHMAD FAUZI,PARTI ISLAM SE MALAYSIA (PAS),19618,0,lost
Kedah,P.014 Merbok,3,DATO' TAJUL URUS HJ. MAT ZAIN,BARISAN NASIONAL (BN),20830,0,lost
Kedah,P.015 Sungai Petani,1,DATO' JOHARI ABDUL,PARTI KEADILAN RAKYAT (PKR),45532,1,won
Kedah,P.015 Sungai Petani,2,USTAZ SHARIR LONG,PARTI ISLAM SE MALAYSIA (PAS),22760,0,lost
Kedah,P.015 Sungai Petani,3,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,BARISAN NASIONAL (BN),23963,0,lost
Kedah,P.015 Sungai Petani,4,P. SRITHARAN,PARTI RAKYAT MALAYSIA (PRM),279,0,lost_deposit
Kedah,P.016 Baling,1,USTAZ HASSAN BIN SAAD,PARTI ISLAM SE MALAYSIA (PAS),37483,0,lost
Kedah,P.016 Baling,2,MOHD TAUFIK BIN HJ YAACOB,PARTI KEADILAN RAKYAT (PKR),14472,0,lost
Kedah,P.016 Baling,3,DATUK AZEEZ RAHIM,BARISAN NASIONAL (BN),38557,1,won
Kedah,P.017 Padang Serai,1,KARUPAIYA MUTUSAMI,PARTI KEADILAN RAKYAT (PKR),31724,1,won
Kedah,P.017 Padang Serai,2,MUHAMAD SOBRI BIN OSMAN,PARTI ISLAM SE MALAYSIA (PAS),22911,0,lost
Kedah,P.017 Padang Serai,3,DATO' DR. LEONG YONG KONG,BARISAN NASIONAL (BN),15449,0,lost
Kedah,P.018 Kulim-Bandar Baharu,1,DATO' ABD AZIZ HJ. SHEIKH FADZIR,BARISAN NASIONAL (BN),18299,0,lost
Kedah,P.018 Kulim-Bandar Baharu,2,DATO' SAIFUDDIN NASUTION ISMAIL,PARTI KEADILAN RAKYAT (PKR),23159,1,won
Kedah,P.018 Kulim-Bandar Baharu,3,USTAZ HASSAN RAZAK,PARTI ISLAM SE MALAYSIA (PAS),12885,0,lost
Kelantan,P.019 Tumpat,1,DATUK WAN,BARISAN NASIONAL (BN),29541,0,lost
Kelantan,P.019 Tumpat,2,DATUK NORDIN BIN SALLEH,PARTI KEADILAN RAKYAT (PKR),10003,0,lost_deposit
Kelantan,P.019 Tumpat,3,DATO HJ CHE LAH MAT NAWI,PARTI ISLAM SE MALAYSIA (PAS),47041,1,won
Kelantan,P.020 Pengkalan Chepa,1,USTAZ MARZUK SHAARY,PARTI ISLAM SE MALAYSIA (PAS),32592,1,won
Kelantan,P.020 Pengkalan Chepa,2,DATUK ZALUZI,BARISAN NASIONAL (BN),19360,0,lost
Kelantan,P.020 Pengkalan Chepa,3,MEJAR MAT,PARTI KEADILAN RAKYAT (PKR),7435,0,lost
Kelantan,P.021 Kota Bharu,1,HUSAM MUSA,PARTI KEADILAN RAKYAT (PKR),22422,0,lost
Kelantan,P.021 Kota Bharu,2,FIKHRAN HAMSHI ,BARISAN NASIONAL (BN),16256,0,lost
Kelantan,P.021 Kota Bharu,3,DATO' TAKIYUDDIN ,PARTI ISLAM SE MALAYSIA (PAS),28291,1,won
Kelantan,P.022 Pasir Mas,1,CHE UJANG ,PARTI KEADILAN RAKYAT (PKR),5093,0,lost_deposit
Kelantan,P.022 Pasir Mas,2,NOR AZMAWI @ BAWI,BARISAN NASIONAL (BN),15005,0,lost
Kelantan,P.022 Pasir Mas,3,USTAZ FADHLI SHAARI,PARTI ISLAM SE MALAYSIA (PAS),28080,1,won
Kelantan,P.022 Pasir Mas,4,DATO' DR. IBRAHIM BIN ALI,BEBAS (BEBAS),5373,0,lost_deposit
Kelantan,P.023 Rantau Panjang,1,KAK LAH,PARTI ISLAM SE MALAYSIA (PAS),24581,1,won
Kelantan,P.023 Rantau Panjang,2,ABDULLAH BIN MAT YASIM,BARISAN NASIONAL (BN),18431,0,lost
Kelantan,P.023 Rantau Panjang,3,DR SHAH,PARTI KEADILAN RAKYAT (PKR),5361,0,lost_deposit
Kelantan,P.024 Kubang Kerian,1,DATO DR HALIM,PARTI KEADILAN RAKYAT (PKR),11557,0,lost
Kelantan,P.024 Kubang Kerian,2,DATO' SRI MUHAMMAD ABD GHANI,BARISAN NASIONAL (BN),16251,0,lost
Kelantan,P.024 Kubang Kerian,3,USTAZ TUAN IBRAHIM,PARTI ISLAM SE MALAYSIA (PAS),35620,1,won
Kelantan,P.025 Bachok,1,HJ ZUL ,PARTI KEADILAN RAKYAT (PKR),4880,0,lost_deposit
Kelantan,P.025 Bachok,2,USTAZ NIK ABDUH ,PARTI ISLAM SE MALAYSIA (PAS),36188,1,won
Kelantan,P.025 Bachok,3,DATUK AWANG ,BARISAN NASIONAL (BN),32896,0,lost
Kelantan,P.026 Ketereh,1,USTAZ WAN ,PARTI ISLAM SE MALAYSIA (PAS),20841,0,lost
Kelantan,P.026 Ketereh,2,DR RADZI JIDIN,PARTI KEADILAN RAKYAT (PKR),6799,0,lost
Kelantan,P.026 Ketereh,3,TAN SRI ANNUAR MUSA,BARISAN NASIONAL (BN),25467,1,won
Kelantan,P.027 Tanah Merah,1,DATO' SRI HJ IKMAL HISHAM BIN ABDUL AZIZ,BARISAN NASIONAL (BN),28152,1,won
Kelantan,P.027 Tanah Merah,2,DATO' DR JOHARI MAT,PARTI ISLAM SE MALAYSIA (PAS),25223,0,lost
Kelantan,P.027 Tanah Merah,3,DR FAUZI,PARTI KEADILAN RAKYAT (PKR),4747,0,lost_deposit
Kelantan,P.028 Pasir Puteh,1,DR. ASYRAF WAJDI DUSUKI,BARISAN NASIONAL (BN),30947,0,lost
Kelantan,P.028 Pasir Puteh,2,USTAZ DR. NIK ZAWAWI,PARTI ISLAM SE MALAYSIA (PAS),32307,1,won
Kelantan,P.028 Pasir Puteh,3,DATUK KAMARUDIN (ABE DIN),PARTI KEADILAN RAKYAT (PKR),4896,0,lost_deposit
Kelantan,P.029 Machang,1,ZULKIFLI MAMAT,PARTI ISLAM SE MALAYSIA (PAS),23252,0,lost
Kelantan,P.029 Machang,2,DATO' SAZMI,PARTI KEADILAN RAKYAT (PKR),5695,0,lost_deposit
Kelantan,P.029 Machang,3,DATUK JAZLAN,BARISAN NASIONAL (BN),26076,1,won
Kelantan,P.030 Jeli,1,DATO' PA,BARISAN NASIONAL (BN),21665,1,won
Kelantan,P.030 Jeli,2,AZRAN BIN DERAMAN,PARTI KEADILAN RAKYAT (PKR),2078,0,lost_deposit
Kelantan,P.030 Jeli,3,CIKGU MAT,PARTI ISLAM SE MALAYSIA (PAS),15018,0,lost
Kelantan,P.031 Kuala Krai,1,DATO RAMZI,BARISAN NASIONAL (BN),20911,0,lost
Kelantan,P.031 Kuala Krai,2,USTAZ LATIFF,PARTI ISLAM SE MALAYSIA (PAS),28903,1,won
Kelantan,P.031 Kuala Krai,3,DR IR YAZID,PARTI KEADILAN RAKYAT (PKR),5173,0,lost_deposit
Kelantan,P.032 Gua Musang,1,USTAZ ABDULLAH,PARTI ISLAM SE MALAYSIA (PAS),15513,0,lost
Kelantan,P.032 Gua Musang,2,ABE NOR,PARTI KEADILAN RAKYAT (PKR),4997,0,lost
Kelantan,P.032 Gua Musang,3,TENGKU RAZALEIGH HAMZAH,BARISAN NASIONAL (BN),19426,1,won
Terengganu,P.033 Besut,1,DATO' IR. HAJI WAN NAZARI,PARTI KEADILAN RAKYAT (PKR),6864,0,lost_deposit
Terengganu,P.033 Besut,2,IDRIS JUSOH,BARISAN NASIONAL (BN),34335,1,won
Terengganu,P.033 Besut,3,DR USTAZ RIDUAN MOHAMAD NOR,PARTI ISLAM SE MALAYSIA (PAS),29736,0,lost
Terengganu,P.034 Setiu,1,DATO' HAJI MOHD JIDIN BIN SHAFEE ,BARISAN NASIONAL (BN),32218,0,lost
Terengganu,P.034 Setiu,2,USTAZ ZUKIRNAIN AB KADIR,PARTI ISLAM SE MALAYSIA (PAS),35020,1,won
Terengganu,P.034 Setiu,3,DATO' DR MOHD FAUDZI BIN MUSA,PARTI KEADILAN RAKYAT (PKR),4740,0,lost_deposit
Terengganu,P.035 Kuala Nerus,1,HAJI ABDULLAH,PARTI KEADILAN RAKYAT (PKR),4604,0,lost_deposit
Terengganu,P.035 Kuala Nerus,2,USTAZ DATO' DR KHAIRUDDIN TAKIRI,PARTI ISLAM SE MALAYSIA (PAS),37974,1,won
Terengganu,P.035 Kuala Nerus,3,DR. TENGKU ASMADI,BARISAN NASIONAL (BN),29527,0,lost
Terengganu,P.036 Kuala Terengganu,1,HAJI AMZAD HASHIM,PARTI ISLAM SE MALAYSIA (PAS),42988,1,won
Terengganu,P.036 Kuala Terengganu,2,DATO RAJA BAHRIN,PARTI KEADILAN RAKYAT (PKR),15380,0,lost
Terengganu,P.036 Kuala Terengganu,3,WAN NAWAWI BIN HAJI WAN ISMAIL,BARISAN NASIONAL (BN),28215,0,lost
Terengganu,P.037 Marang,1,ZARAWI BIN SULONG,PARTI KEADILAN RAKYAT (PKR),5138,0,lost_deposit
Terengganu,P.037 Marang,2,MOHAMAD NOR BIN ENDOT,BARISAN NASIONAL (BN),31795,0,lost
Terengganu,P.037 Marang,3,TUAN GURU HAJI ABDUL HADI AWANG,PARTI ISLAM SE MALAYSIA (PAS),53749,1,won
Terengganu,P.038 Hulu Terengganu,1,DATUK RAZALI IDRIS,PARTI KEADILAN RAKYAT (PKR),3364,0,lost_deposit
Terengganu,P.038 Hulu Terengganu,2,DATO' ROSOL BIN WAHID,BARISAN NASIONAL (BN),30925,1,won
Terengganu,P.038 Hulu Terengganu,3,HAJI MUHYIDIN ABDUL RASHID,PARTI ISLAM SE MALAYSIA (PAS),28057,0,lost
Terengganu,P.039 Dungun,1,DATO DIN,BARISAN NASIONAL (BN),27731,0,lost
Terengganu,P.039 Dungun,2,USTAZ WAN HASSAN MOHD RAMLI,PARTI ISLAM SE MALAYSIA (PAS),40850,1,won
Terengganu,P.039 Dungun,3,HJ. ABD RAHMAN YUSOF,PARTI KEADILAN RAKYAT (PKR),6833,0,lost_deposit
Terengganu,P.040 Kemaman,1,USTAZ ALIAS ABD HAMID,PARTI ISLAM SE MALAYSIA (PAS),39878,1,won
Terengganu,P.040 Kemaman,2,MOHD. HUZAIFAH MD. SUHAIMI,PARTI KEADILAN RAKYAT (PKR),12911,0,lost
Terengganu,P.040 Kemaman,3,AHMAD SHABERY CHEEK,BARISAN NASIONAL (BN),37715,0,lost
Pulau Pinang,P.041 Kepala Batas,1,DATO' SRI REEZAL MERICAN B NAINA MERICAN,BARISAN NASIONAL (BN),22459,1,won
Pulau Pinang,P.041 Kepala Batas,2,DR. ZAIDI BIN ZAKARIA,PARTI KEADILAN RAKYAT (PKR),17723,0,lost
Pulau Pinang,P.041 Kepala Batas,3,SITI MASTURA MUHAMMAD,PARTI ISLAM SE MALAYSIA (PAS),12120,0,lost
Pulau Pinang,P.042 Tasek Gelugor,1,DATUK SHABUDIN YAHAYA,BARISAN NASIONAL (BN),18547,1,won
Pulau Pinang,P.042 Tasek Gelugor,2,HJ. MARZUKI BIN YAHYA,PARTI KEADILAN RAKYAT (PKR),18466,0,lost
Pulau Pinang,P.042 Tasek Gelugor,3,RIZAL HAFIZ BIN RUSLAN,PARTI ISLAM SE MALAYSIA (PAS),14891,0,lost
Pulau Pinang,P.043 Bagan,1,HUAN CHENG GUAN @ MEJAR HUAN,PARTI CINTA MALAYSIA (PCM),502,0,lost_deposit
Pulau Pinang,P.043 Bagan,2,LIM GUAN ENG ,PARTI KEADILAN RAKYAT (PKR),51653,1,won
Pulau Pinang,P.043 Bagan,3,KOAY XING BOON,PARTI BERSAMA MALAYSIA (MU),181,0,lost_deposit
Pulau Pinang,P.043 Bagan,4,LEE BENG SENG,BARISAN NASIONAL (BN),7751,0,lost
Pulau Pinang,P.044 Permatang Pauh,1,NURUL IZZAH ANWAR,PARTI KEADILAN RAKYAT (PKR),35534,1,won
Pulau Pinang,P.044 Permatang Pauh,2,USTAZ AFNAN HAMIMI B. DATO' TAIB AZAMUDDEN,PARTI ISLAM SE MALAYSIA (PAS),14428,0,lost
Pulau Pinang,P.044 Permatang Pauh,3,MOHD ZAIDI MOHD SAID,BARISAN NASIONAL (BN),19866,0,lost
Pulau Pinang,P.045 Bukit Mertajam,1,GUI GUAT LYE,BARISAN NASIONAL (BN),10907,0,lost
Pulau Pinang,P.045 Bukit Mertajam,2,SIM CHEE KEONG,PARTI KEADILAN RAKYAT (PKR),63784,1,won
Pulau Pinang,P.046 Batu Kawan,1,OOI KHAR GIAP,PENANG FRONT PARTY (PFP),256,0,lost_deposit
Pulau Pinang,P.046 Batu Kawan,2,JAYANTHI DEVI BALAGURU,BARISAN NASIONAL (BN),9130,0,lost
Pulau Pinang,P.046 Batu Kawan,3,JAY KUMAR,PARTI ISLAM SE MALAYSIA (PAS),2636,0,lost_deposit
Pulau Pinang,P.046 Batu Kawan,4,KASTHURIRAANI PATTO,PARTI KEADILAN RAKYAT (PKR),42683,1,won
Pulau Pinang,P.047 Nibong Tebal,1,DATO MANSOR OTHMAN,PARTI KEADILAN RAKYAT (PKR),35395,1,won
Pulau Pinang,P.047 Nibong Tebal,2,DATO IR. DR. SHAIK HUSSEIN BIN MYDIN,BARISAN NASIONAL (BN),19578,0,lost
Pulau Pinang,P.047 Nibong Tebal,3,TAN TEE BENG,BEBAS (BEBAS),331,0,lost_deposit
Pulau Pinang,P.047 Nibong Tebal,4,MOHD HELMI BIN HARUN,PARTI ISLAM SE MALAYSIA (PAS),6875,0,lost_deposit
Pulau Pinang,P.048 Bukit Bendera,1,WONG HON WAI,PARTI KEADILAN RAKYAT (PKR),50049,1,won
Pulau Pinang,P.048 Bukit Bendera,2,TAN GIN THEAM,PARTI BERSAMA MALAYSIA (MU),339,0,lost_deposit
Pulau Pinang,P.048 Bukit Bendera,3,ANDY YONG KIM SENG,BARISAN NASIONAL (BN),9318,0,lost
Pulau Pinang,P.049 Tanjong,1,NG SIEW LAI,BARISAN NASIONAL (BN),5064,0,lost
Pulau Pinang,P.049 Tanjong,2,CHOW KON YEOW,PARTI KEADILAN RAKYAT (PKR),34663,1,won
Pulau Pinang,P.050 Jelutong,1,BALJIT SINGH ,BARISAN NASIONAL (BN),12529,0,lost
Pulau Pinang,P.050 Jelutong,2,SANISVARA NETHAJI RAYER A/L RAJAJI,PARTI KEADILAN RAKYAT (PKR),50700,1,won
Pulau Pinang,P.050 Jelutong,3,TAN SIM BEE,PARTI BERSAMA MALAYSIA (MU),437,0,lost_deposit
Pulau Pinang,P.051 Bukit Gelugor,1,LOW JOO HIAP,BARISAN NASIONAL (BN),9671,0,lost
Pulau Pinang,P.051 Bukit Gelugor,2,RAMKARPAL SINGH A/L KARPAL SINGH,PARTI KEADILAN RAKYAT (PKR),65622,1,won
Pulau Pinang,P.051 Bukit Gelugor,3,LAI XUE CHING,PARTI BERSAMA MALAYSIA (MU),412,0,lost_deposit
Pulau Pinang,P.052 Bayan Baru,1,DAVID YIM BOON LEONG,PARTI BERSAMA MALAYSIA (MU),733,0,lost_deposit
Pulau Pinang,P.052 Bayan Baru,2,SIM TZE TZIN,PARTI KEADILAN RAKYAT (PKR),51555,1,won
Pulau Pinang,P.052 Bayan Baru,3,CHUAH SENG GUAN,BARISAN NASIONAL (BN),13804,0,lost
Pulau Pinang,P.052 Bayan Baru,4,ISZUREE BIN IBRAHIM,PARTI ISLAM SE MALAYSIA (PAS),8757,0,lost_deposit
Pulau Pinang,P.053 Balik Pulau,1,MUHAMMAD IMRAN BIN MUHAMMAD SA'AD,PARTI ISLAM SE MALAYSIA (PAS),5298,0,lost_deposit
Pulau Pinang,P.053 Balik Pulau,2,MUHAMMAD BAKHTIAR BIN WAN CHIK,PARTI KEADILAN RAKYAT (PKR),25471,1,won
Pulau Pinang,P.053 Balik Pulau,3,DATO' SERI DR. HILMI HAJI YAHAYA,BARISAN NASIONAL (BN),19007,0,lost
Perak,P.054 Gerik,1,USTAZ DAHALAN,PARTI ISLAM SE MALAYSIA (PAS),7715,0,lost
Perak,P.054 Gerik,2,DATO HASBULLAH OSMAN,BARISAN NASIONAL (BN),13243,1,won
Perak,P.054 Gerik,3,IBRAHIM HANAFIAH,PARTI KEADILAN RAKYAT (PKR),6353,0,lost
Perak,P.055 Lenggong,1,AMIRUL FAIRUZZEEN,PARTI KEADILAN RAKYAT (PKR),3932,0,lost
Perak,P.055 Lenggong,2,USTAZ MUJAHID IR FADZIL,PARTI ISLAM SE MALAYSIA (PAS),6750,0,lost
Perak,P.055 Lenggong,3,DR. SHAMSUL ANUAR NASARAH,BARISAN NASIONAL (BN),12523,1,won
Perak,P.056 Larut,1,CIKGU HAJI ABU HUSIN,PARTI ISLAM SE MALAYSIA (PAS),13698,0,lost
Perak,P.056 Larut,2,DATO SERI HAMZAH ZAINUDIN,BARISAN NASIONAL (BN),18184,1,won
Perak,P.056 Larut,3,DATO' KHAIRIL ANUAR,PARTI KEADILAN RAKYAT (PKR),7738,0,lost
Perak,P.057 Parit Buntar,1,ABDUL PUHAT BIN MAT NAYAN,BARISAN NASIONAL (BN),13655,0,lost
Perak,P.057 Parit Buntar,2,DATO' DR MUJAHID YUSOF RAWA,PARTI KEADILAN RAKYAT (PKR),16753,1,won
Perak,P.057 Parit Buntar,3,AHMAD AZHAR HAJI SHARIN,PARTI ISLAM SE MALAYSIA (PAS),12312,0,lost
Perak,P.058 Bagan Serai,1,DATO DR NOOR AZMI BIN GHAZALI,BARISAN NASIONAL (BN),17220,1,won
Perak,P.058 Bagan Serai,2,ADAM BIN ASMUNI,PARTI KEADILAN RAKYAT (PKR),12987,0,lost
Perak,P.058 Bagan Serai,3,USTAZAH ROHAYA BINTI BAKAR,PARTI ISLAM SE MALAYSIA (PAS),17048,0,lost
Perak,P.059 Bukit Gantang,1,USTAZ IDRIS AHMAD,PARTI ISLAM SE MALAYSIA (PAS),16052,0,lost
Perak,P.059 Bukit Gantang,2,SYED ABU HUSSIN BIN HAFIZ SYED ABDUL FASAL,BARISAN NASIONAL (BN),22450,1,won
Perak,P.059 Bukit Gantang,3,DATO HJ KHADRI KHALID,PARTI KEADILAN RAKYAT (PKR),18361,0,lost
Perak,P.060 Taiping,1,TAN KENG LIANG,BARISAN NASIONAL (BN),15613,0,lost
Perak,P.060 Taiping,2,IBRAHIM ISMAIL,PARTI ISLAM SE MALAYSIA (PAS),11133,0,lost
Perak,P.060 Taiping,3,TEH KOK LIM,PARTI KEADILAN RAKYAT (PKR),42997,1,won
Perak,P.061 Padang Rengas,1,EJAZI YAHAYA,PARTI KEADILAN RAKYAT (PKR),7943,0,lost
Perak,P.061 Padang Rengas,2,DATO SERI MOHAMED NAZRI BIN TAN SRI ABDUL AZIZ,BARISAN NASIONAL (BN),10491,1,won
Perak,P.061 Padang Rengas,3,MOHAMAD AZALAN,PARTI ISLAM SE MALAYSIA (PAS),6847,0,lost
Perak,P.062 Sungai Siput,1,S. KESAVAN,PARTI KEADILAN RAKYAT (PKR),20817,1,won
Perak,P.062 Sungai Siput,2,DR. ISHAK IBRAHIM,PARTI ISLAM SE MALAYSIA (PAS),5194,0,lost_deposit
Perak,P.062 Sungai Siput,3,S.K. DEVAMANY,BARISAN NASIONAL (BN),15210,0,lost
Perak,P.062 Sungai Siput,4,DR KUMAR,PARTI SOSIALIS MALAYSIA (PSM),1505,0,lost_deposit
Perak,P.063 Tambun,1,DATO' SERI AHMAD HUSNI HANADZLAH,BARISAN NASIONAL (BN),33341,0,lost
Perak,P.063 Tambun,2,AHMAD FAIZAL DATO' AZUMU,PARTI KEADILAN RAKYAT (PKR),38661,1,won
Perak,P.063 Tambun,3,USTAZ IBRAHIM ZAKARIA,PARTI ISLAM SE MALAYSIA (PAS),14948,0,lost
Perak,P.064 Ipoh Timor,1,KATHLEEN (KAT) WONG,BARISAN NASIONAL (BN),13722,0,lost
Perak,P.064 Ipoh Timor,2,WONG KAH WOH,PARTI KEADILAN RAKYAT (PKR),56519,1,won
Perak,P.065 Ipoh Barat,1,CHENG WEI YEE,BARISAN NASIONAL (BN),9889,0,lost
Perak,P.065 Ipoh Barat,2,M. KULA ,PARTI KEADILAN RAKYAT (PKR),55613,1,won
Perak,P.066 Batu Gajah,1,LEONG CHEE WAI,BARISAN NASIONAL (BN),8982,0,lost
Perak,P.066 Batu Gajah,2,V. SIVAKUMAR,PARTI KEADILAN RAKYAT (PKR),52850,1,won
Perak,P.066 Batu Gajah,3,SEKAR,PARTI SOSIALIS MALAYSIA (PSM),955,0,lost_deposit
Perak,P.067 Kuala Kangsar,1,DRS. KHALIL IDHAM LIM,PARTI ISLAM SE MALAYSIA (PAS),6583,0,lost
Perak,P.067 Kuala Kangsar,2,DR. AHMAD TERMIZI RAMLI,PARTI KEADILAN RAKYAT (PKR),11371,0,lost
Perak,P.067 Kuala Kangsar,3,DATIN MASTURA YAZID ,BARISAN NASIONAL (BN),12102,1,won
Perak,P.068 Beruas,1,PANG CHOK KING,BARISAN NASIONAL (BN),13277,0,lost
Perak,P.068 Beruas,2,DATO' NGEH KOO HAM,PARTI KEADILAN RAKYAT (PKR),41231,1,won
Perak,P.068 Beruas,3,HJ MOHAMAD NAZEER HAMEED,PARTI ISLAM SE MALAYSIA (PAS),5759,0,lost_deposit
Perak,P.069 Parit,1,DR NAJIHA AHMAD,PARTI ISLAM SE MALAYSIA (PAS),7715,0,lost
Perak,P.069 Parit,2,USTAZ NIZAR,BARISAN NASIONAL (BN),14035,1,won
Perak,P.069 Parit,3,TARMIZI MOHD JAM,PARTI KEADILAN RAKYAT (PKR),7240,0,lost
Perak,P.070 Kampar,1,YOUGAN,PARTI ISLAM SE MALAYSIA (PAS),3864,0,lost_deposit
Perak,P.070 Kampar,2,LEE CHEE LEONG,BARISAN NASIONAL (BN),18415,0,lost
Perak,P.070 Kampar,3,SU KEONG SIONG,PARTI KEADILAN RAKYAT (PKR),30216,1,won
Perak,P.071 Gopeng,1,DR LEE BOON CHYE,PARTI KEADILAN RAKYAT (PKR),48923,1,won
