state,parlimen,ballot_order,name,age,sex,ethnicity,party,votes,result,result_desc
Selangor,P.094 Hulu Selangor,2,ZAINAL ABIDIN AHMAD,68,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),23177,1,won
Selangor,P.095 Tanjong Karang,1,NOH BIN OMAR,50,male,bumiputera,BARISAN NASIONAL (BN),16073,1,won
Selangor,P.095 Tanjong Karang,2,MOHAMED HANIPA BIN MAIDIN,39,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),12253,0,lost
Selangor,P.096 Kuala Selangor,1,DZULKEFLY AHMAD,52,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),18796,1,won
Selangor,P.096 Kuala Selangor,2,JAHAYA BIN IBRAHIM,54,male,bumiputera,BARISAN NASIONAL (BN),17934,0,lost
Selangor,P.097 Selayang,1,LEE LI YEW,43,male,chinese,BARISAN NASIONAL (BN),27134,0,lost
Selangor,P.097 Selayang,2,KOH SWE YONG,57,male,chinese,PARTI RAKYAT MALAYSIA (PRM),1332,0,lost_deposit
Selangor,P.097 Selayang,3,WILLIAM LEONG JEE KEEN,51,male,chinese,PARTI KEADILAN RAKYAT (PKR),30701,1,won
Selangor,P.098 Gombak,1,AZMIN ALI,43,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),40334,1,won
Selangor,P.098 Gombak,2,SAID ANUAR SAID AHMAD,45,male,bumiputera,BARISAN NASIONAL (BN),33467,0,lost
Selangor,P.099 Ampang,1,AZMAN BIN WAHID,45,male,bumiputera,BARISAN NASIONAL (BN),23319,0,lost
Selangor,P.099 Ampang,2,ZURAIDA KAMARUDDIN,50,female,bumiputera,PARTI KEADILAN RAKYAT (PKR),26995,1,won
Selangor,P.100 Pandan,1,ONG TEE KEAT,51,male,chinese,BARISAN NASIONAL (BN),25236,1,won
Selangor,P.100 Pandan,2,SYED SHAHIR BIN SYED MOHAMUD,55,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),22275,0,lost
Selangor,P.101 Hulu Langat,1,CHE ROSLI CHE MAT,56,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),36124,1,won
Selangor,P.101 Hulu Langat,2,MARKIMAN KOBIRAN,50,male,bumiputera,BARISAN NASIONAL (BN),34379,0,lost
Selangor,P.102 Bangi,1,TEO NIE CHING,27,female,chinese,PARTI TINDAKAN DEMOKRATIK (DAP),47444,1,won
Selangor,P.102 Bangi,2,HOH HEE LEE,47,male,chinese,BARISAN NASIONAL (BN),26419,0,lost
Selangor,P.103 Puchong,1,LAU YENG PENG,45,male,chinese,BARISAN NASIONAL (BN),22486,0,lost
